strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
scalp_managed,LINK-USDT-SWAP,long,2026-09-14T04:30:00+00:00,2026-09-14T08:45:00+00:00,11.375685,11.378308,337.8712662,3843.517095,11.07971429,100,1,3843.517095,7.687920426,3.843961396,-0.05136277713,-6.853046872,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.023% < 0.200%; engel Bollinger(20) orta bandı 11.3027; stop 2.54% (11.0797), hedef 11.9476 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_managed,DOGE-USDT-SWAP,long,2026-09-14T05:45:00+00:00,2026-09-14T10:00:00+00:00,0.084072015,0.084347805,73669.50209,6193.543485,0.08271642857,99.86537723,1.007662581,6146.445844,12.40740428,6.203708771,-0.1687678243,7.741139876,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.129% < 0.200%; engel Bollinger(20) orta bandı 0.083639; stop 1.55% (0.0827164), hedef 0.0866271 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9990 oranında kırpıldı | exit_rule=time_stop
scalp_managed,PENGU-USDT-SWAP,long,2026-09-14T08:45:00+00:00,2026-09-14T13:00:00+00:00,0.0071465715,0.007086455,635323.4665,4540.384579,0.006989428571,99.83659011,1.183686964,3835.798413,9.042575734,4.521279449,0,-47.23599891,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.042% < 0.200%; engel Bollinger(20) orta bandı 0.00714085; stop 2.15% (0.00698943), hedef 0.00745014 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9988 oranında kırpıldı | exit_rule=time_stop
scalp_managed,AVAX-USDT-SWAP,short,2026-09-14T10:00:00+00:00,2026-09-14T14:15:00+00:00,7.3893035,7.497747,658.1840695,4863.521849,7.541214286,99.98525915,1,4863.521849,9.798419482,4.899193122,0,-81.17420363,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.043% < 0.200%; engel Bollinger(20) orta bandı 7.3978; stop 2.00% (7.54121), hedef 7.09657 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_managed,LINK-USDT-SWAP,long,2026-09-14T14:45:00+00:00,2026-09-14T16:30:00+00:00,11.383689,11.4812565,294.6652978,3354.378109,11.04914286,98.5791388,1,3354.378109,6.737505974,3.368761017,-0.3069388974,21.70531157,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.033% < 0.200%; engel Bollinger(20) orta bandı 11.3768; stop 2.88% (11.0491), hedef 12.0327 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_managed,LINK-USDT-SWAP,short,2026-09-14T12:15:00+00:00,2026-09-14T16:45:00+00:00,11.3793075,11.4987465,434.2760826,4941.761084,11.60721429,98.97446611,3.839089493,1287.222164,9.93539167,4.967684109,0.4523648458,-61.35252786,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.106% < 0.200%; engel Bollinger(20) orta bandı 11.3854; stop 1.96% (11.6072), hedef 10.9376 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9962 oranında kırpıldı | exit_rule=time_stop
scalp_managed,BNB-USDT-SWAP,long,2026-09-14T17:45:00+00:00,2026-09-14T18:00:00+00:00,724.86225,725.53705,8.710718623,6314.071101,713.6857143,97.35565779,1.37149425,4603.789698,12.63402019,6.317013146,0,-6.756027267,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.070% < 0.200%; engel Bollinger(20) orta bandı 721.94; stop 1.48% (713.686), hedef 745.829 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9986 oranında kırpıldı | exit_rule=time_stop
scalp_managed,BNB-USDT-SWAP,short,2026-09-14T13:45:00+00:00,2026-09-14T18:15:00+00:00,720.73945,726.363,10.38436284,7484.419963,730.2428571,98.686828,1.977066681,3785.618379,15.02723691,7.513605734,-0.2072192928,-73.63143986,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.036% < 0.200%; engel Bollinger(20) orta bandı 722.05; stop 1.27% (730.243), hedef 702.814 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9980 oranında kırpıldı | exit_rule=time_stop
scalp_managed,ETH-USDT-SWAP,long,2026-09-14T16:15:00+00:00,2026-09-14T19:30:00+00:00,2507.923335,2542.42815,0.0001500841372,0.37639951,2438.13,0.01047487247,5,0.07527990199,0.0007579776453,0.0003789902121,0,0.004420647744,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.048% < 0.200%; engel Bollinger(20) orta bandı 2506.3; stop 2.73% (2438.13), hedef 2643.78 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut leverage_cap=5 nedeniyle 0.0001 oranında kırpıldı (gereken kaldıraç 46608.45); boyut komisyon+marj nakde sığsın diye 0.9950 oranında kırpıldı | exit_rule=time_stop
scalp_managed,ETH-USDT-SWAP,short,2026-09-14T15:15:00+00:00,2026-09-14T19:45:00+00:00,2502.018365,2544.35154,1.443671962,3612.093762,2570.026429,98.18133458,2.533262086,1425.866586,7.285302743,3.642637003,0.1374496459,-68.26307091,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.047% < 0.200%; engel Bollinger(20) orta bandı 2507.93; stop 2.67% (2570.03), hedef 2369.79 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9975 oranında kırpıldı | exit_rule=time_stop
scalp_managed,ETHFI-USDT-SWAP,long,2026-09-14T18:30:00+00:00,2026-09-14T22:45:00+00:00,0.65262615,0.6340828,3327.687725,2171.736028,0.6234857143,96.97027023,1,2171.736028,4.281765579,2.140867898,0,-65.98824376,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.047% < 0.200%; engel Bollinger(20) orta bandı 0.64572; stop 4.40% (0.623486), hedef 0.709629 (2.00R), zaman stop'u 16 bar; yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
