ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-13T13:45:00+00:00,10000,0,0,10000,0
2026-09-13T14:00:00+00:00,10000,0,0,10000,0
2026-09-13T14:15:00+00:00,10000,0,0,10000,0
2026-09-13T14:30:00+00:00,10000,0,0,10000,0
2026-09-13T14:45:00+00:00,10000,0,0,10000,0
2026-09-13T15:00:00+00:00,10000,0,0,10000,0
2026-09-13T15:15:00+00:00,10000,0,0,10000,0
2026-09-13T15:30:00+00:00,10000,0,0,10000,0
2026-09-13T15:45:00+00:00,10000,0,0,10000,0
2026-09-13T16:00:00+00:00,10000,0,0,10000,0
2026-09-13T16:15:00+00:00,10000,0,0,10000,0
2026-09-13T16:30:00+00:00,10000,0,0,10000,0
2026-09-13T16:45:00+00:00,10000,0,0,10000,0
2026-09-13T17:00:00+00:00,10000,0,0,10000,0
2026-09-13T17:15:00+00:00,10000,0,0,10000,0
2026-09-13T17:30:00+00:00,10000,0,0,10000,0
2026-09-13T17:45:00+00:00,10000,0,0,10000,0
2026-09-13T18:00:00+00:00,10000,0,0,10000,0
2026-09-13T18:15:00+00:00,10000,0,0,10000,0
2026-09-13T18:30:00+00:00,10000,0,0,10000,0
2026-09-13T18:45:00+00:00,10000,0,0,10000,0
2026-09-13T19:00:00+00:00,10000,0,0,10000,0
2026-09-13T19:15:00+00:00,10000,0,0,10000,0
2026-09-13T19:30:00+00:00,2155.032155,7837.130714,-6.230873722,9985.931996,1
2026-09-13T19:45:00+00:00,2155.032155,7837.130714,-1.023773718,9991.139096,1
2026-09-13T20:00:00+00:00,2155.032155,7837.130714,11.70469296,10003.86756,1
2026-09-13T20:15:00+00:00,2155.032155,7837.130714,20.38319297,10012.54606,1
2026-09-13T20:30:00+00:00,2155.032155,7837.130714,22.69745964,10014.86033,1
2026-09-13T20:45:00+00:00,2155.032155,7837.130714,33.11165965,10025.27453,1
2026-09-13T21:00:00+00:00,2155.032155,7837.130714,31.95452631,10024.1174,1
2026-09-13T21:15:00+00:00,2155.032155,7837.130714,19.8046263,10011.9675,1
2026-09-13T21:30:00+00:00,2155.032155,7837.130714,16.91179297,10009.07466,1
2026-09-13T21:45:00+00:00,2155.032155,7837.130714,12.28325963,10004.44613,1
2026-09-13T22:00:00+00:00,2155.032155,7837.130714,-73.92317379,9918.239696,1
2026-09-13T22:15:00+00:00,9880.561042,0,0,9880.561042,0
2026-09-13T22:30:00+00:00,9880.561042,0,0,9880.561042,0
2026-09-13T22:45:00+00:00,9880.561042,0,0,9880.561042,0
2026-09-13T23:00:00+00:00,9880.561042,0,0,9880.561042,0
2026-09-13T23:15:00+00:00,9880.561042,0,0,9880.561042,0
2026-09-13T23:30:00+00:00,4808.309416,5067.184441,-8.585546567,9866.908311,1
2026-09-13T23:45:00+00:00,4808.309416,5067.184441,-0.6440199887,9874.849837,1
2026-09-14T00:00:00+00:00,4808.246755,5067.184441,-19.5524166,9855.87878,1
2026-09-14T00:15:00+00:00,4808.246755,5067.184441,9.944682116,9885.375878,1
2026-09-14T00:30:00+00:00,4808.246755,5067.184441,-18.79608074,9856.635116,1
2026-09-14T00:45:00+00:00,4808.246755,5067.184441,-24.84676766,9850.584429,1
2026-09-14T01:00:00+00:00,4808.246755,5067.184441,-21.44325627,9853.98794,1
2026-09-14T01:15:00+00:00,4808.246755,5067.184441,-18.79608074,9856.635116,1
2026-09-14T01:30:00+00:00,4808.246755,5067.184441,-8.585546567,9866.84565,1
2026-09-14T01:45:00+00:00,4808.246755,5067.184441,-42.24249254,9833.188704,1
2026-09-14T02:00:00+00:00,4808.246755,5067.184441,-71.73959126,9803.691605,1
2026-09-14T02:15:00+00:00,4808.246755,5067.184441,-83.08462923,9792.346567,1
2026-09-14T02:30:00+00:00,4808.246755,5067.184441,-76.27760645,9799.15359,1
2026-09-14T02:45:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T03:00:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T03:15:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T03:30:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T03:45:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T04:00:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T04:15:00+00:00,9763.702862,0,0,9763.702862,0
2026-09-14T04:30:00+00:00,6007.25428,3752.695886,3.072901735,9763.023068,1
2026-09-14T04:45:00+00:00,6007.25428,3752.695886,5.38211399,9765.33228,1
2026-09-14T05:00:00+00:00,6007.25428,3752.695886,2.413126806,9762.363293,1
2026-09-14T05:15:00+00:00,6007.25428,3752.695886,-4.514509957,9755.435656,1
2026-09-14T05:30:00+00:00,6007.25428,3752.695886,0.4338020163,9760.383968,1
2026-09-14T05:45:00+00:00,0,9753.902974,21.90494673,9775.807921,2
2026-09-14T06:00:00+00:00,0,9753.902974,44.68922679,9798.592201,2
2026-09-14T06:15:00+00:00,0,9753.902974,27.0317953,9780.934769,2
2026-09-14T06:30:00+00:00,0,9753.902974,43.36967693,9797.272651,2
2026-09-14T06:45:00+00:00,0,9753.902974,24.18183251,9778.084807,2
