ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-13T13:45:00+00:00,10000,0,0,10000,0
2026-09-13T14:00:00+00:00,10000,0,0,10000,0
2026-09-13T14:15:00+00:00,10000,0,0,10000,0
2026-09-13T14:30:00+00:00,10000,0,0,10000,0
2026-09-13T14:45:00+00:00,10000,0,0,10000,0
2026-09-13T15:00:00+00:00,10000,0,0,10000,0
2026-09-13T15:15:00+00:00,10000,0,0,10000,0
2026-09-13T15:30:00+00:00,10000,0,0,10000,0
2026-09-13T15:45:00+00:00,10000,0,0,10000,0
2026-09-13T16:00:00+00:00,10000,0,0,10000,0
2026-09-13T16:15:00+00:00,10000,0,0,10000,0
2026-09-13T16:30:00+00:00,10000,0,0,10000,0
2026-09-13T16:45:00+00:00,10000,0,0,10000,0
2026-09-13T17:00:00+00:00,10000,0,0,10000,0
2026-09-13T17:15:00+00:00,10000,0,0,10000,0
2026-09-13T17:30:00+00:00,10000,0,0,10000,0
2026-09-13T17:45:00+00:00,10000,0,0,10000,0
2026-09-13T18:00:00+00:00,10000,0,0,10000,0
2026-09-13T18:15:00+00:00,10000,0,0,10000,0
2026-09-13T18:30:00+00:00,10000,0,0,10000,0
2026-09-13T18:45:00+00:00,10000,0,0,10000,0
2026-09-13T19:00:00+00:00,10000,0,0,10000,0
2026-09-13T19:15:00+00:00,10000,0,0,10000,0
2026-09-13T19:30:00+00:00,2155.032155,7837.130714,-6.230873722,9985.931996,1
2026-09-13T19:45:00+00:00,2155.032155,7837.130714,-1.023773718,9991.139096,1
2026-09-13T20:00:00+00:00,2155.032155,7837.130714,11.70469296,10003.86756,1
2026-09-13T20:15:00+00:00,2155.032155,7837.130714,20.38319297,10012.54606,1
2026-09-13T20:30:00+00:00,2155.032155,7837.130714,22.69745964,10014.86033,1
2026-09-13T20:45:00+00:00,2155.032155,7837.130714,33.11165965,10025.27453,1
2026-09-13T21:00:00+00:00,2155.032155,7837.130714,31.95452631,10024.1174,1
2026-09-13T21:15:00+00:00,2155.032155,7837.130714,19.8046263,10011.9675,1
2026-09-13T21:30:00+00:00,2155.032155,7837.130714,16.91179297,10009.07466,1
