strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
scalp_patient,ETH-USDT-SWAP,long,2026-09-16T20:45:00+00:00,2026-09-17T22:00:00+00:00,2409.254025,2445.126825,0.8330277163,2006.975378,2289.21,100,1,2006.975378,2.224108586,2.021924873,-0.2415196163,27.41740846,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.032% < 0.200%; engel Bollinger(20) orta bandı 2397.91; stop 4.94% (2289.21), hedef 2645.76 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_patient,BTC-USDT-SWAP,long,2026-09-16T21:30:00+00:00,2026-09-17T22:45:00+00:00,76074.31815,76351.6051,0.03921250209,2983.06436,73525.36429,99.95085874,1,2983.06436,3.287351009,2.988504383,-0.6777258783,6.90803822,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.084% < 0.200%; engel Bollinger(20) orta bandı 75869; stop 3.30% (73525.4), hedef 81058.5 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_patient,ETHFI-USDT-SWAP,long,2026-09-17T01:15:00+00:00,2026-09-18T01:45:00+00:00,0.58799385,0.6430640214,3539.30433,2081.089179,0.5597071429,100.1152651,1,2081.089179,2.39639865,2.1785935,-0.3137714976,192.199926,tp,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.130% < 0.200%; engel Bollinger(20) orta bandı 0.58608; stop 4.75% (0.559707), hedef 0.643386 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",
scalp_patient,PENGU-USDT-SWAP,long,2026-09-17T01:45:00+00:00,2026-09-18T01:45:00+00:00,0.0070505235,0.007482828143,453678.555,3198.671313,0.006828714286,100.6300838,1.094358997,2922.872039,3.626408485,3.296784842,-0.2556177065,192.2453195,tp,"Açılış aralığı kırılımı: ilk 4 bar [0.006965, 0.006994], kapanış 0.007048 üstte (3. bar); hacim 296935 ≥ 1.5× SMA20(149287); engel ölçülü hareket 0.007023 (aralık genişliği 2.9e-05); stop 3.11% (0.00682871), hedef 0.00748657 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9994 oranında kırpıldı
scalp_patient,DOGE-USDT-SWAP,short,2026-09-17T23:00:00+00:00,2026-09-18T02:00:00+00:00,0.08145925,0.08273176893,88855.68923,7238.117803,0.08260785714,102.0602793,1.440941853,5023.185208,8.024118384,14.63113646,0.6206990372,-120.4739658,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.092% < 0.200%; engel Bollinger(20) orta bandı 0.0815665; stop 1.37% (0.0826079), hedef 0.0792543 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı
scalp_patient,DOGE-USDT-SWAP,long,2026-09-18T00:00:00+00:00,2026-09-18T03:15:00+00:00,0.08172084,0.08374953286,21.08083451,1.722743504,0.08060928571,0.02343249194,5,0.3445487008,0.00191853945,0.001744137901,0,0.04084799894,tp,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.112% < 0.200%; engel Bollinger(20) orta bandı 0.0815895; stop 1.30% (0.0806093), hedef 0.0837914 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",boyut leverage_cap=5 nedeniyle 0.0002 oranında kırpıldı (gereken kaldıraç 21773.42); boyut komisyon+marj nakde sığsın diye 0.9973 oranında kırpıldı
scalp_patient,SOL-USDT-SWAP,long,2026-09-18T03:30:00+00:00,2026-09-18T13:45:00+00:00,104.021985,108.9726293,0.01851938683,1.926423379,101.4414286,0.04779032274,5,0.3852846758,0.00216949131,0.001972288241,-0.0001958425157,0.08931756276,tp,"Açılış aralığı kırılımı: ilk 4 bar [100.83, 101.66], kapanış 103.97 üstte (10. bar); hacim 445153 ≥ 1.5× SMA20(109649); engel ölçülü hareket 102.49 (aralık genişliği 0.83); stop 2.43% (101.441), hedef 109.027 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",boyut leverage_cap=5 nedeniyle 0.0005 oranında kırpıldı (gereken kaldıraç 10895.80); boyut komisyon+marj nakde sığsın diye 0.9973 oranında kırpıldı
scalp_patient,ADA-USDT-SWAP,long,2026-09-18T02:00:00+00:00,2026-09-18T19:00:00+00:00,0.2095047,0.2222174071,15729.55339,3295.415365,0.2029357143,103.3272115,1,3295.415365,3.734937764,3.395448808,-0.6832917994,195.5469762,tp,"Açılış aralığı kırılımı: ilk 4 bar [0.2013, 0.2048], kapanış 0.2094 üstte (4. bar); hacim 72441.4 ≥ 1.5× SMA20(27884.3); engel ölçülü hareket 0.2083 (aralık genişliği 0.0035); stop 3.09% (0.202936), hedef 0.222329 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",
scalp_patient,PENGU-USDT-SWAP,long,2026-09-18T02:15:00+00:00,2026-09-18T20:45:00+00:00,0.007495746,0.007906330571,482029.5341,3613.170952,0.007281357143,103.3417609,1,3613.170952,4.083340687,3.712178304,-0.3696684497,193.4608805,tp,"Açılış aralığı kırılımı: ilk 4 bar [0.007215, 0.007305], kapanış 0.007491 üstte (5. bar); hacim 439871 ≥ 1.5× SMA20(188427); engel ölçülü hareket 0.007395 (aralık genişliği 9e-05); stop 2.80% (0.00728136), hedef 0.00791029 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",
scalp_patient,BNB-USDT-SWAP,long,2026-09-18T02:45:00+00:00,2026-09-19T04:00:00+00:00,748.9743,758.92035,7.476155666,5599.448457,735.1071429,103.6730255,1.655424234,3382.485494,6.200290323,5.636647565,-1.697685429,66.46024232,signal,"Açılış aralığı kırılımı: ilk 4 bar [735, 739.9], kapanış 748.5 üstte (7. bar); hacim 290852 ≥ 1.5× SMA20(128104); engel ölçülü hareket 744.8 (aralık genişliği 4.9); stop 1.79% (735.107), hedef 775.286 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9991 oranında kırpıldı | exit_rule=time_stop
scalp_patient,NEAR-USDT-SWAP,long,2026-09-19T01:45:00+00:00,2026-09-19T13:15:00+00:00,3.8609295,3.553936429,353.0477293,1363.092393,3.555714286,107.7555383,1,1363.092393,1.439790868,1.308874021,-0.1300980882,-109.9530957,stop,"Açılış aralığı kırılımı: ilk 4 bar [3.687, 3.771], kapanış 3.86 üstte (3. bar); hacim 122676 ≥ 1.5× SMA20(55698.5); engel ölçülü hareket 3.855 (aralık genişliği 0.084); stop 7.88% (3.55571), hedef 4.46857 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",
scalp_patient,AVAX-USDT-SWAP,long,2026-09-19T02:00:00+00:00,2026-09-19T13:30:00+00:00,8.6973465,9.385876143,303.5628726,2640.191487,8.342714286,107.6531737,1,2640.191487,3.019167256,2.744750445,-0.259121268,205.7337477,tp,"Açılış aralığı kırılımı: ilk 4 bar [8.199, 8.365], kapanış 8.692 üstte (4. bar); hacim 321516 ≥ 1.5× SMA20(47835.2); engel ölçülü hareket 8.531 (aralık genişliği 0.166); stop 4.02% (8.34271), hedef 9.39057 (2.00R), zaman stop'u 100 bar | arm=opening_range_breakout | post_r=nan",
scalp_patient,PENGU-USDT-SWAP,short,2026-09-19T06:45:00+00:00,2026-09-19T17:00:00+00:00,0.007788104,0.008100489679,186634.111,1453.525867,0.008088357143,56.03747841,5,290.7051734,1.630944456,2.991471514,0.1457332456,-59.78703463,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.016% < 0.200%; engel Bollinger(20) orta bandı 0.00786795; stop 3.79% (0.00808836), hedef 0.00720229 (2.00R), zaman stop'u 100 bar | arm=rsi2_reversal | post_r=nan",boyut leverage_cap=5 nedeniyle 0.5276 oranında kırpıldı (gereken kaldıraç 9.48); boyut komisyon+marj nakde sığsın diye 0.9973 oranında kırpıldı
